index,name,isin,url,keyword,sheet
52,Amundi Core S&P 500 Swap ETF Acc USD,LU1135865084,https://www.ajbell.co.uk/market-research/LSE:SP5C,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
57,Amundi Core Stoxx Eurp 600 ETF Acc EUR,LU0908500753,https://www.ajbell.co.uk/market-research/MIL:MEUD,,ETF
62,Amundi Core Stoxx Eurp 600 ETF USD H Acc,LU2873560564,https://www.ajbell.co.uk/market-research/LSE:MEUH,This share can be held in a Dealing account,ETF
67,Amundi Core USD Corp Bd ETF Dist GBP,LU2037749152,https://www.ajbell.co.uk/market-research/LSE:PRIP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
72,Amundi DJ Industrial Average ETF Dist USD,FR0007056841,https://www.ajbell.co.uk/market-research/LSE:DJEU,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
77,Amundi S&P World Financials Scrn ETF Acc GBP,IE000KYX7IP4,https://www.ajbell.co.uk/market-research/LSE:GLFI,This share can be held in a Dealing account,ETF
82,Amundi EUR Corp Bd Clmt PrsAlgdETFAcc GBP,LU1829219127,https://www.ajbell.co.uk/market-research/LSE:CRPX,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
87,Amundi Euro Govt Infl-Lnkd Bd ETF Acc GBP,LU1650491282,https://www.ajbell.co.uk/market-research/LSE:MTIX,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
92,Amundi FTSE 100 Swap ETF Acc,LU1650492173,https://www.ajbell.co.uk/market-research/LSE:L100,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
97,Amundi Glb Aggt Green Bd ETF Acc GBP,LU1563454310,https://www.ajbell.co.uk/market-research/LSE:CLIM,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",ETF
102,Amundi Glb AggtPrcdsBd 1-10YETFUSDHdgAcc,LU1981860239,https://www.ajbell.co.uk/market-research/LSE:XCOU,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
107,Amundi Global Qual Inc ETF Acc USD,LU0855692520,https://www.ajbell.co.uk/market-research/LSE:SGQD,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
112,Amundi Global ex-US Govt Bd ETF $ HAcc,LU3254330601,https://www.ajbell.co.uk/market-research/LSE:GXUH,,ETF
117,Amundi Glb Govt Inf-Ld Bd 1-10Y ETF Dis,LU1910939849,https://www.ajbell.co.uk/market-research/LSE:GIST,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
122,Amundi Ibex 35 ETF Acc EUR,FR0010655746,https://www.ajbell.co.uk/market-research/XETR:AMES,,ETF
127,Amundi USD High Yld Corp Bd ESG ETF Dis GBP,LU1435356149,https://www.ajbell.co.uk/market-research/LSE:UHYG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",ETF
132,Amundi IS Core Global Gvt Bd ETFDR£H,LU2355200796,https://www.ajbell.co.uk/market-research/LSE:GOVG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",ETF
