index,name,isin,url,keyword,sheet
53,BioPharma Credit Ord,GB00BDGKMY29,https://www.ajbell.co.uk/market-research/LSE:BPCR,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
58,BlackRock Greater Europe Ord,GB00B01RDH75,https://www.ajbell.co.uk/market-research/LSE:BRGE,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
63,Bluefield Solar Income Fund,GG00BB0RDB98,https://www.ajbell.co.uk/market-research/LSE:BSIF,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
68,Brown Advisory US Smaller Companies Ord,GB0003463402,https://www.ajbell.co.uk/market-research/LSE:BASC,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
73,Canadian General Investments Ord GBP,CA1358251074,https://www.ajbell.co.uk/market-research/LSE:CGI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
78,Chelverton UK Dividend Trust Ord,GB0006615826,https://www.ajbell.co.uk/market-research/LSE:SDV,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
83,CQS Natural Resources G&I Ord,GB0000353929,https://www.ajbell.co.uk/market-research/LSE:CYN,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
88,CT Healthcare Trust plc,GB00BZCNLL95,https://www.ajbell.co.uk/market-research/LSE:CTHT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
93,Custodian Property Income REIT Ord,GB00BJFLFT45,https://www.ajbell.co.uk/market-research/LSE:CREI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
98,Digital 9 Infrastructure Ord,JE00BMDKH437,https://www.ajbell.co.uk/market-research/LSE:DGI9,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
103,Ecofin US Renewables Infrastructure Ord,GB00BLPK4430,https://www.ajbell.co.uk/market-research/LSE:RNEW,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",Investment
108,EPE Special Opportunities Ord,BMG3163K1053,https://www.ajbell.co.uk/market-research/LSE:ESO,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
113,Fidelity Asian Values Ord,GB0003322319,https://www.ajbell.co.uk/market-research/LSE:FAS,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
118,Finsbury Growth & Income Ord,GB0007816068,https://www.ajbell.co.uk/market-research/LSE:FGT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
123,Foresight VCT Ord,GB00B68K3716,https://www.ajbell.co.uk/market-research/LSE:FTV,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
128,GCP Infrastructure Investment Ord,JE00B6173J15,https://www.ajbell.co.uk/market-research/LSE:GCP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
133,Gore Street Energy Storage Fund Ord,GB00BG0P0V73,https://www.ajbell.co.uk/market-research/LSE:GSF,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
138,Gresham House Income & Growth VCT Ord,GB00B29BN198,https://www.ajbell.co.uk/market-research/LSE:GHV1,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
143,Guinness VCT Ord,GB00BQD0HG35,https://www.ajbell.co.uk/market-research/LSE:GVCT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
148,Henderson Far East Income Ord,JE00B1GXH751,https://www.ajbell.co.uk/market-research/LSE:HFEL,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
