index,name,isin,url,keyword,sheet
6,7IM AAP Balanced C Acc,GB00B2PB3794,https://www.ajbell.co.uk/market-research/FUND:B2PB379,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
13,7IM Adventurous C Inc,GB0033957704,https://www.ajbell.co.uk/market-research/FUND:3395770,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
19,7IM Moderately Cautious C Inc,GB0033953273,https://www.ajbell.co.uk/market-research/FUND:3395327,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
25,7IM Responsible Balanced C Acc,GB00B1LBFZ86,https://www.ajbell.co.uk/market-research/FUND:B1LBFZ8,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
31,abrdn American Equity Enh Index B Acc,GB00BRJL8192,https://www.ajbell.co.uk/market-research/FUND:BRJL819,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
38,abrdn Diversified Growth and Inc I Inc,GB00B1C42886,https://www.ajbell.co.uk/market-research/FUND:B1C4288,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
44,abrdn EM Local Ccy Bond Tracker B Acc,GB00BG08MT84,https://www.ajbell.co.uk/market-research/FUND:BG08MT8,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
50,abrdn European Real Estate Share I Acc,GB00BWK26907,https://www.ajbell.co.uk/market-research/FUND:BWK2690,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
55,abrdn Global Equity I Acc,GB0031682734,https://www.ajbell.co.uk/market-research/FUND:3168273,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
60,abrdn Global Real Estate Inst Inc,GB00B0LD3Y28,https://www.ajbell.co.uk/market-research/FUND:B0LD3Y2,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
65,abrdn Japan Equity Enhanced Index B Acc,GB00BRJL8317,https://www.ajbell.co.uk/market-research/FUND:BRJL831,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
70,abrdn MyFolio Core I Inst Acc,GB00B51ZXG55,https://www.ajbell.co.uk/market-research/FUND:B51ZXG5,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
75,abrdn MyFolio Enh ESG Idx V B Fixed Acc,GB00BMXNWV41,https://www.ajbell.co.uk/market-research/FUND:BMXNWV4,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
80,abrdn MyFolio Index II Inst B Fixed Acc,GB00BHZCQP60,https://www.ajbell.co.uk/market-research/FUND:BHZCQP6,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
85,abrdn MyFolio Multi-Manager II Inst Acc,GB00B55L0T15,https://www.ajbell.co.uk/market-research/FUND:B55L0T1,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
90,abrdn Real Estate Feeder Instl Inc,GB00BP8YY396,https://www.ajbell.co.uk/market-research/FUND:BP8YY39,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
95,abrdn Real Estate J GBP Inc,GB00BP8YY735,https://www.ajbell.co.uk/market-research/FUND:BP8YY73,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
100,abrdn Short Dur Gbl Infl Lnk I Inc,GB00BP25R627,https://www.ajbell.co.uk/market-research/FUND:BP25R62,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
105,abrdn-Diversified Income X Acc HGBP,LU3118956724,https://www.ajbell.co.uk/market-research/FUND:BV5R381,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
110,abrdn-Euro High Yield Bond X MInc GBP,LU0837981900,https://www.ajbell.co.uk/market-research/FUND:B709ZQ6,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
115,abrdn-Indian Bond X M Inc GBP,LU1640795206,https://www.ajbell.co.uk/market-research/FUND:BF0J186,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
120,abrdn-Short Dtd Enh Inc X MInc Hdg GBP,LU2698064867,https://www.ajbell.co.uk/market-research/FUND:BS2BDZ2,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",MF
125,abrdn (SLI) Corporate Bond I Acc,GB00BYMMJL57,https://www.ajbell.co.uk/market-research/FUND:BYMMJL5,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
130,abrdn Sterling Inflation-Linked Bd I Acc,GB00BWK27533,https://www.ajbell.co.uk/market-research/FUND:BWK2753,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
135,abrdn Sterling Short Term Govt Bd I Inc,GB00BWK25L59,https://www.ajbell.co.uk/market-research/FUND:BWK25L5,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
140,abrdn UK Income Equity I Inc,GB00B0XWNB45,https://www.ajbell.co.uk/market-research/FUND:B0XWNB4,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
145,abrdn UK Real Estate Share I Acc,GB00B0XWNN66,https://www.ajbell.co.uk/market-research/FUND:B0XWNN6,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
150,abrdn World Equity Enhanced Index B Acc,GB00BRJL7Z68,https://www.ajbell.co.uk/market-research/FUND:BRJL7Z6,"This fund can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Regular investment",MF
