index,name,isin,url
3,7IM AAP Adventurous C Inc,GB00B2PB2B68,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BFB8/U/?specialunittype=ORDN&priipproductcode=
8,7IM AAP Moderately Adventurous C Acc,GB00B2PB2M73,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BFA7/U/?specialunittype=ORDN&priipproductcode=
13,7IM Adventurous C Inc,GB0033957704,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI87/U/?specialunittype=ORDN&priipproductcode=
18,7IM Moderately Cautious C Acc,GB0033953497,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/RK22/U/?specialunittype=ORDN&priipproductcode=
23,7IM Pathbuilder 2 C Inc,GB00BMDPC439,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2FX/U/?specialunittype=ORDN&priipproductcode=
28,7IM Responsible Balanced C Acc,GB00B1LBFZ86,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q726/U/?specialunittype=ORDN&priipproductcode=
33,abrdn AAA Bond Institutional Inc GBP,GB0006584543,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL92/U/?specialunittype=ORDN&priipproductcode=
38,abrdn Asia Pacific Equity I Acc,GB00B0XWNG99,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KV68/U/?specialunittype=ORDN&priipproductcode=
43,abrdn Dynamic Distribution Inst Inc GBP,GB00B0WS8K73,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QH64/U/?specialunittype=ORDN&priipproductcode=
48,abrdn Emerging Markets Income Equity Inst Acc GBP,GB00B82VD295,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GY0W/U/?specialunittype=ORDN&priipproductcode=
53,abrdn Europe ex UK Income Equity Inst Inc GBP,GB00B3L7S958,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ELT0/U/?specialunittype=ORDN&priipproductcode=
58,abrdn European Smaller Companies I Acc,GB00B0XWN580,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GNOM/U/?specialunittype=ORDN&priipproductcode=
63,abrdn Global Equity I Acc,GB0031682734,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BAG9/U/?specialunittype=ORDN&priipproductcode=
68,abrdn Global Inflation-Linked Bond Tracker B Acc,GB00BG08N175,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZV9/U/?specialunittype=ORDN&priipproductcode=
73,abrdn Global Sustainable Equity I Acc,GB0006833932,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MJ42/U/?specialunittype=ORDN&priipproductcode=
78,abrdn Japan Equity Tracker B Acc,GB00BGMK1519,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZCX/U/?specialunittype=ORDN&priipproductcode=
83,abrdn MyFolio Core III Institutional Fixed Inc GBP,GB00BHZCRH51,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q4CB/U/?specialunittype=ORDN&priipproductcode=
88,abrdn MyFolio Index I Inst B Acc GBP,GB00BHZCQK16,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q1UT/U/?specialunittype=ORDN&priipproductcode=
93,abrdn MyFolio Multi Manager I Inst Acc GBP,GB00B5401V86,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KRI1/U/?specialunittype=ORDN&priipproductcode=
98,abrdn MyFolio Multi Manager V Institutional Inc GBP,GB00BHZCS055,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q4CR/U/?specialunittype=ORDN&priipproductcode=
103,abrdn Short Dated Corporate Bond Institutional Acc,GB00BZCGBQ34,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NGLN/U/?specialunittype=ORDN&priipproductcode=
108,abrdn Short Duration Global Inflation-Linked Bond Inst Inc GBP,GB00BP25R627,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KQGL/U/?specialunittype=ORDN&priipproductcode=
