index,name,isin,url
7,7IM AAP Cautious C Inc,GB00BMXV7D57,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AHOMC/U/?specialunittype=ORDN&priipproductcode=
27,7IM Real Return C Acc,GB00B75MS619,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0HF3/U/?specialunittype=ORDN&priipproductcode=
47,abrdn Emerging Markets Equity Tracker B Acc,GB00BKBD2H80,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QG9H/U/?specialunittype=ORDN&priipproductcode=
67,abrdn Global Inflation Linked Bond Institutional Inc GBP,GB00B00ZJX05,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ZI39/U/?specialunittype=ORDN&priipproductcode=
87,abrdn MyFolio Enhanced ESG V Institutional B Fixed Dis GBP,GB00BPBR9L86,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Y2KF/U/?specialunittype=ORDN&priipproductcode=
107,abrdn Short Dated Sterling Corporate Bond Tracker B Acc,GB00BGMK1956,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZCT/U/?specialunittype=ORDN&priipproductcode=
127,abrdn Sterling Corporate Bond Institutional Inc GBP,GB00BYMMK898,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MS7N/U/?specialunittype=ORDN&priipproductcode=
147,abrdn UK Real Estate Share I Acc,GB00B0XWNN66,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GMDE/U/?specialunittype=ORDN&priipproductcode=
167,Aegon Global Short Dated High Yield Bond C Hedged Acc GBP,IE00BDCVTN70,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NV7A/O/?specialunittype=ORDN&priipproductcode=
187,Aegon UK Equity B Acc GBP,GB0007451411,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SN60/U/?specialunittype=ORDN&priipproductcode=
207,Alquity Future World Y GBP,LU1070052854,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NCRS/O/?specialunittype=ORDN&priipproductcode=
227,Artemis Income I Inc,GB00B2PLJJ36,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BUH6/U/?specialunittype=ORDN&priipproductcode=
247,Artemis Strategic Bond I Quarterly Inc,GB00BJT0KT28,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K7PO/U/?specialunittype=ORDN&priipproductcode=
267,Atlas Global Infrastructure C Hedged Acc GBP,IE000RE463N8,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ASVWK/O/?specialunittype=CHDG&priipproductcode=
287,Aviva Inv Multi-asset Core IV 2,GB00BMGWH791,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/DN7Z/U/?specialunittype=ORDN&priipproductcode=
307,AXA Carbon Transition Sterling Buy And Maintain Credit Fund Z Gross,GB00B7VXY261,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I25P/U/?specialunittype=ORDN&priipproductcode=
327,AXA Framlington UK Equity Income Z Acc,GB00B7KBNV36,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11VG/U/?specialunittype=ORDN&priipproductcode=
347,AXA Managed Income Z Gross Inc,GB00B71DB365,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11VQ/U/?specialunittype=ORDN&priipproductcode=
367,Baillie Gifford Developed Asia Pacific B Acc,GB0030492044,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/B037/U/?specialunittype=ORDN&priipproductcode=
387,Baillie Gifford Investment Grade Bond B Acc,GB00BYQCYS34,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MS0K/U/?specialunittype=ORDN&priipproductcode=
407,Baillie Gifford Responsible Global Equity Income B Acc,GB00BFM4CT76,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PIBE/U/?specialunittype=ORDN&priipproductcode=
427,Barclays Global Markets Defensive R Dis GBP,GB00B5346P09,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KLI8/U/?specialunittype=ORDN&priipproductcode=
447,Barclays UK Small and Mid Cap Class R Dis GBP,GB00BNDVX456,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/VBWY/U/?specialunittype=ORDN&priipproductcode=
467,Barings German Growth Trust I Inc GBP,GB00B8DDY871,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/G60C/U/?specialunittype=ORDN&priipproductcode=
487,BlackRock Consensus 35 D,GB00B7W6H253,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GFYY/U/?specialunittype=ORDN&priipproductcode=
507,BlackRock European Dynamic FD Acc,GB00BCZRNN30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JVIW/U/?specialunittype=ORDN&priipproductcode=
527,BlackRock Global Event Driven D2 Hedged GBP,LU1373034930,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/E7KZ/DC/?specialunittype=CHDG&priipproductcode=
547,BlackRock SF Managed Index Portfolios - Growth D2 Hedged GBP,LU1191063897,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/FTIO/DC/?specialunittype=CHDG&priipproductcode=
567,BLENHEIM Diversified Alternatives R Inc,GB00BNDQ9D14,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/UNFU/U/?specialunittype=ORDN&priipproductcode=
587,BNY Mellon Emerging Income Inst W Inc,GB00B8HMC861,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GTLS/U/?specialunittype=ORDN&priipproductcode=
607,BNY Mellon Global Dynamic Bond (Responsible) Institutional W Inc,GB00BJBKC497,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R4PL/U/?specialunittype=ORDN&priipproductcode=
627,BNY Mellon Global Real Return GBP W Inc,IE00B90JQM39,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I3LF/DC/?specialunittype=ORDN&priipproductcode=
647,BNY Mellon Multi-Asset Income Inst W Inc,GB00BP851R55,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/M40P/U/?specialunittype=ORDN&priipproductcode=
667,Brown Advisory Global Leaders B Dis GBP,IE00BYPJ0V09,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OYH2/O/?specialunittype=ORDN&priipproductcode=
687,Capital Group Global Corporate Bond Fund (LUX) Zd GBP,LU1823148975,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/P1HS/O/?specialunittype=ORDN&priipproductcode=
707,Capital Group UK - Investment Company of America (UK) P Acc GBP,GB00BRBTFM14,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/CA36Z/U/?specialunittype=ORDN&priipproductcode=
727,CG Dollar Fund Class Hedged Share GBP,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NDNE/O/?specialunittype=CHDG&priipproductcode=
747,CT (Lux) European Select ZGH GBP,LU0815285605,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/13C5/DC/?specialunittype=CHDG&priipproductcode=
767,CT Emerging Market Bond ZGA GBP,GB00B8Q77S73,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/J6GU/U/?specialunittype=ORDN&priipproductcode=
787,CT Global Real Estate Securities 3 Inc,GB00BG5GMD10,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JY2B/U/?specialunittype=ORDN&priipproductcode=
807,CT Managed Equity Z Acc GBP,GB00BMGRW683,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/TYCQ/U/?specialunittype=ORDN&priipproductcode=
827,CT Property Growth & Income H Acc,GB00BQWJ8463,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/M3IH/U/?specialunittype=ORDN&priipproductcode=
847,CT Sterling Short-Term Money Market RNI Inc GBP,GB00B2NBDK41,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/B3K4/U/?specialunittype=ORDN&priipproductcode=
867,CT UK Social Bond ZNA GBP,GB00BF233790,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JTYR/U/?specialunittype=ORDN&priipproductcode=
887,Discovery Growth C Acc GBP,GB00BYN66713,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MYHW/U/?specialunittype=ORDN&priipproductcode=
907,EPIC Global Equity B,IE00BFNBK716,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/P23T/DC/?specialunittype=ORDN&priipproductcode=
927,Evelyn Income Portfolio Clean Dist GBP,IE00BFY1N376,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QGQC/DC/?specialunittype=ORDN&priipproductcode=
947,Fidelity Allocator World W Acc,GB00B9777B62,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I3BS/U/?specialunittype=ORDN&priipproductcode=
967,Fidelity Emerging Markets W Acc,GB00B9SMK778,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JAZJ/U/?specialunittype=ORDN&priipproductcode=
987,Fidelity Global Dividend W Monthly Inc,GB00BYSYZL73,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/N0HK/U/?specialunittype=ORDN&priipproductcode=
1007,Fidelity Index Japan P Inc,GB00BP8RYP09,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KOGX/U/?specialunittype=ORDN&priipproductcode=
1027,Fidelity MoneyBuilder Corporate Bond W Acc GBP,GB00BBGBFM09,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JE1R/U/?specialunittype=ORDN&priipproductcode=
1047,Fidelity Pacific W GBP,LU1033664373,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K5LV/DC/?specialunittype=ORDN&priipproductcode=
1067,Fidelity UK Select W Acc,GB00BFRT3942,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JTYC/U/?specialunittype=ORDN&priipproductcode=
1087,FP Apollo Multi Asset Cautious D Inc GBP,GB00B7ZV9873,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GO2M/U/?specialunittype=ORDN&priipproductcode=
1107,FP Russell Investments Defensive Assets C Inc,GB00B4L7GL04,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/HZO3/U/?specialunittype=ORDN&priipproductcode=
1127,Franklin Mutual European A YDis GBP,LU0229939250,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ON42/DC/?specialunittype=ORDN&priipproductcode=
1147,FTF ClearBridge UK Mid Cap W Acc,GB00B7BXT545,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/G25T/U/?specialunittype=ORDN&priipproductcode=
1167,FTGF Brandywine Global Fixed Income Absolute Return X Hedged Acc GBP,IE00BMMV5T88,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KNXZ/DC/?specialunittype=CHDG&priipproductcode=
1187,GAM Star Continental European Equity Inst Inc GBP,IE00B8F9YY94,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GGIX/O/?specialunittype=ORDN&priipproductcode=
1207,GS Absolute Return Tracker Portfolio R Hedged GBP,LU1103308398,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/FR1C/O/?specialunittype=CHDG&priipproductcode=
1227,GS Goldman Sachs Emerging Markets CORE® Equity Portfoli R Close GBP,LU0858292112,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/F4LE/O/?specialunittype=ORDN&priipproductcode=
1247,Guinness European Equity Income Y Acc GBP,IE00BYVHVZ98,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ODXK/O/?specialunittype=ORDN&priipproductcode=
1267,HSBC Europe Ex-UK Equity C Acc,GB00BNYFWD82,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/LOMA/U/?specialunittype=ORDN&priipproductcode=
